comment,toxic,comment_clean
"Basically:
 
 if self.microversion and 'X-OpenStack-Nova-API-Version' in headers and headers['X-OpenStack-Nova-API-Version'] != self.microversion:
  self.fail('bad test setup i hate you so much')
 
 And:
 
 if not self.microversion and 'X-OpenStack-Nova-API-Version' in headers:
  self.fail('oh you dirty bastard')",1,basically if selfmicroversion and xopenstacknovaapiversion in headers and headersxopenstacknovaapiversion selfmicroversion selffailbad test setup i hate you so much and if not selfmicroversion and xopenstacknovaapiversion in headers selffailoh you dirty bastard
s/InsepctorBaseTest/InspectorBaseTest/,0,sinsepctorbasetestinspectorbasetest
"my mistake here, it should be set as side-efffect of server_rebuild.",0,my mistake here it should be set as sideefect of serverrebuild
"ditto as the EC CL:
 Signed-off-by: Daisuke Nojiri <dnojiri@chromium.org>",0,ditto as the ec cl signedoffby daisuke nojiri dnojirichromiumorg
"it seems you're still using self.nested_templ_with_server
 
 rather it should be 
 
 files={'the.yaml': self.nested_templ}",0,it seems you are still using selfnestedtemplwithserver rather it should be filestheyaml selfnestedtempl
"real nit but can we write this without the \
 id = greenthread.spawn_after ...
 self._events_delayed[event.uuid] = id
 
 (sorry for being pathetic)",0,real nit but can we write this without the id greenthreadspawnafter selfeventsdelayedeventuuid id sorry for being pathetic
"Was probably tired when I wrote that stupid line. Thanks for the comment.
 
 Done",0,was probably tired when i wrote that stupid line thanks for the comment done
"indentation issue.
 Remove these blank spaces.",0,indentation issue remove these blank spaces
Remove daterangepicker,0,remove daterangepicker
"odd that there isn't any mention of Android here. does Chrome not usually build with _FORTIFY_SOURCE?

here i suspect you either want to mention __BIONIC__ or _FORTIFY_SOURCE. there's nothing brillo about this.",0,odd that there is not any mention of android here does chrome not usually build with fortifysource here i suspect you either want to mention bionic or fortifysource theres nothing brillo about this
rpmbuild should be executed under unprivileged user. so do not perform operations required root privileges during build stage,0,rpmbuild should be executed under unprivileged user so do not perform operations required root privileges during build stage
mock_clients.return_value.environment...,0,mockclientsreturnvalueenvironment
"I think this solution is braindead also, like the previous one. Can we try to ass the null.? Anyway, +2 because safe.",1,i think this solution is braindead also like the previous one can we try to ass the null anyway 2 because safe
Damn!,1,damn
"The caching is only necessary for the performance benefit of not needing to do that service query from the DB every time we get an instance, which doubles the traffic to the DB on every instance query, which kind of sucks.
 
 Agree with leaving the caching in, that was my point with removing the TODO so we don't forget about this.",1,the caching is only necessary for the performance benefit of not needing to do that service query from the db every time we get an instance which doubles the traffic to the db on every instance query which kind of sucks agree with leaving the caching in that was my point with removing the todo so we do not forget about this
not sure which is going to land first but will include once Honey lands,0,not sure which is going to land first but will include once honey lands
kill it and find out? or did you want to do that in a later patch instead?,0,kill it and find out or did you want to do that in a later patch instead
loadDraft() will invoke drawTopPanel so I remove invalidateOptionsMenu belowed.,0,loaddraft will invoke drawtoppanel so i remove invalidateoptionsmenu belowed
"damnit, I hate it when I forget to save the file before I commit ;-)

yes they were notes as I was coding the C file

Done.",1,damnit i hate it when i forget to save the file before i commit yes they were notes as i was coding the c file done
Damn. I thought I'd removed those. Sorry.,1,damn i thought id removed those sorry
Need to use six.text_type here and below,0,need to use sixtexttype here and below
"Ah yes, I remember this damm mess now. Unfortunately some of the task code needs a conductor. Seems silly to do that over rpc just for dependency reasons.",1,ah yes i remember this damm mess now unfortunately some of the task code needs a conductor seems silly to do that over rpc just for dependency reasons
"Can encoder work without VPU? If not, we should remove these ifdef CONFIG_MEDIATEK_VPU.",0,can encoder work without vpu if not we should remove these ifdef configmediatekvpu
"profileId=profileId, extra_config=extra_config",0,profileidprofileid extraconfigextraconfig
"Is this still used anywhere?
 
 (later)
 
 Looks like still used in nova.tests.unit.test_service, so I guess we can't remove it. Damn.",1,is this still used anywhere later looks like still used in novatestsunittestservice so i guess we can not remove it damn
kill and restart,0,kill and restart
u.to_wrapped_dict is more appropriate here,0,utowrappeddict is more appropriate here
"* If we had already decided on the features for a release, extra risky code is less chance. 
 * If there is riskiness as part of features, then it's understandable and should be given more time to stabilise (rather than not landing that feature)
 * The only thing left out is a critical bugs that should be allowed to get in based on it's merit.",0,if we had already decided on the features for a release extra risky code is less chance if there is riskiness as part of features then it is understandable and should be given more time to stabilise rather than not landing that feature the only thing left out is a critical bugs that should be allowed to get in based on it is merit
Remove content_type,0,remove contenttype
"you can. some people prefer reinterpret_cast because it shouts ""danger! crappy type-unsafe C API here!"". others prefer static_cast because it's the weakest cast that will still work. i'll +2 either (but tend to use reinterpret_cast personally; i've never seen anyone make the mistakes that static_cast would prevent in this specific circumstance).",1,you can some people prefer reinterpretcast because it shouts danger crappy typeunsafe c api here others prefer staticcast because it is the weakest cast that will still work i will 2 either but tend to use reinterpretcast personally i have never seen anyone make the mistakes that staticcast would prevent in this specific circumstance
maybe worth having a directory for drivers? would be intersting to know what others think.,0,maybe worth having a directory for drivers would be intersting to know what others think
Nit: put this after NetBendingmarking to preserve lexicographic order.,0,nit put this after netbendingmarking to preserve lexicographic order
why is this a FIXME? Is there something left to do here?,0,why is this a fixme is there something left to do here
all of them should satisfy custom constraint cinder.vtype,0,all of them should satisfy custom constraint cindervtype
remove the tabs please - spaces only - the change makes this review a bitch to read and doesn't match the existing formatting.,1,remove the tabs please spaces only the change makes this review a bitch to read and does not match the existing formatting
"/*eula_accepted*/
or even
/*eula_accepted_callback_*/",0,eulaaccepted or even eulaacceptedcallback
"Damn, forgot to delete this after the code changed during review... well, better to leave it here than to get inconsistent with ToT now I guess.",1,damn forgot to delete this after the code changed during review well better to leave it here than to get inconsistent with tot now i guess
"nononono, all that stuff should go away",0,nononono all that stuff should go away
Damn! Thought I caught all those! Thanks.,1,damn thought i caught all those thanks
Why not store the socket in the state_dir rather than creating a new option?,0,why not store the socket in the statedir rather than creating a new option
"Done.  That's one's embarrassing, though what if there was random memory corruption in the value while we were null-checking nested_connect_job_?  :)",0,done that is ones embarrassing though what if there was random memory corruption in the value while we were nullchecking nestedconnectjob
"the eclass already calls default for you, so you shouldn't need to do it yourself",0,the eclass already calls default for you so you should not need to do it yourself
"I think l7rules should be a subresource of l7policies, much like members are a subresource of pools.",0,i think l7rules should be a subresource of l7policies much like members are a subresource of pools
base_dir is useless,0,basedir is useless
"rather than creating this useless structure, just pass the size in the kmem_cache_create in the _probe function ?

but yeh that's not important, a dirty patch should be dirty....",1,rather than creating this useless structure just pass the size in the kmemcachecreate in the probe function but yeh that is not important a dirty patch should be dirty
"Hmm still get ""AttributeError: __exit__"" for 
""with tf.extractfile as f:"".",0,hmm still get attributeerror exit for with tfextractfile as f
Crap. Sorry about that. Done.,1,crap sorry about that done
Damn grammar :-P,1,damn grammar p
"Shouldn't this be:
 
 if ***not*** self._l2_policy_is_owned ....
  delete the policy
 otherwise do nothing.",0,should not this be if not selfl2policyisowned delete the policy otherwise do nothing
Why do you remove a check for propertyName? Why do you display only string properyValue? What about number and boolean values? I think it should be !_.isPlainObject && !_.isArray check for a property value,0,why do you remove a check for propertyname why do you display only string properyvalue what about number and boolean values i think it should be isplainobject isarray check for a property value
How the heck did that get in there? Done....,1,how the heck did that get in there done
"might want to inject a pause here prior to the reboot; depends on how fast it cycles (getting a ""go do this"" message when the window is 1s sucks)",1,might want to inject a pause here prior to the reboot depends on how fast it cycles getting a go do this message when the window is 1s sucks
"Nits: can we use space instand of tab in 21-25, 27",0,nits can we use space instand of tab in 2125 27
"Showing some hits already:
 
 http://goo.gl/2H9NWU
 
 I haven't dug into these yet to find out where they are coming from.",0,showing some hits already i have not dug into these yet to find out where they are coming from
looks like your git has the wrong name configured in it,0,looks like your git has the wrong name configured in it
I believe this should be inserted at the end or it will break setup-base.sh.,0,i believe this should be inserted at the end or it will break setupbasesh
This'll crap out if the search fails,1,thisll crap out if the search fails
